Geography,Geographic Area Name,Total,T_ Under 18 years,T_ 18 to 34 years,T_ 35 to 64 years,T_ 65 years and over,T_ Male,T_ Female,T_ African American,T_ American Indian/Alaska Native,T_ Asian,T_ Hawaiian/ Pacific Islander,T_ Two or more races,T_ Hispanic or Latino,T_ White,T_ Less than high school graduate,T_ High school graduate,T_ Bachelor's degree or higher,T_ Employed,T_ Employed | Male,T_ Employed | Female,BP_ | Total,BP_ | Under 18 years,BP_ | 18 to 34 years,BP_ | 35 to 64 years,BP_ | 65 years and over,BP_ | Male,BP_ | Female,BP_ | African American,BP_ | American Indian/ Alaska Native,BP_ | Asian,BP_ | Hawaiian/ Pacific Islander,BP_ | Two or more races,BP_ | Hispanic or Latino,BP_ | White,BP_ | Less than high school graduate,BP_ | High school graduate,BP_ | Bachelor's degree or higher,BP_ | Employed,BP_ | Employed | Male,BP_ | Employed | Female,BP_ | 50%,BP_ | 125%,BP_ | 150%,BP_ | 185%,BP_ | 200%,BP_ | 300%,BP_ | 400%,BP_ | 500%,state,county
0500000US01003,"Baldwin County, Alabama",250652,53042,42747,99089,55774,122507,128145,20277,-999999999,-999999999,-999999999,14259,14537,202930,13053,52166,59181,115453,59396,56057,24403,7518,3821,8901,4163,11673,12730,8402,-999999999,-999999999,-999999999,2089,1396,12672,2796,5957,1600,4662,2072,2590,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,01,003
0500000US01015,"Calhoun County, Alabama",111404,24297,23488,41969,21650,53577,57827,23602,-999999999,-999999999,-999999999,-999999999,-999999999,77724,9133,22719,18363,48449,24275,24174,23725,7803,5978,7507,2437,10598,13127,10808,-999999999,-999999999,-999999999,-999999999,-999999999,11404,2879,6455,723,5592,2476,3116,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,01,015
0500000US01043,"Cullman County, Alabama",91076,20463,18882,33997,17734,44676,46400,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,80996,8392,20805,11065,41602,22549,19053,16699,6103,3585,4083,2928,8468,8231,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,14891,2673,2705,961,4563,2103,2460,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,01,043
0500000US01049,"DeKalb County, Alabama",71412,17034,15093,26920,12365,35629,35783,-999999999,-999999999,-999999999,-999999999,-999999999,12162,55195,8341,18897,6417,29454,16266,13188,17629,5779,3605,6355,1890,8205,9424,-999999999,-999999999,-999999999,-999999999,-999999999,7722,8976,3967,3447,443,3886,2485,1401,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,01,049
0500000US01051,"Elmore County, Alabama",86284,19398,18573,33299,15014,41149,45135,15811,-999999999,-999999999,-999999999,-999999999,-999999999,63040,3817,20668,17533,39688,19198,20490,11160,3581,3284,3251,1044,5335,5825,4142,-999999999,-999999999,-999999999,-999999999,-999999999,5994,898,3158,780,2781,889,1892,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,01,051
0500000US01055,"Etowah County, Alabama",101733,22507,20770,38452,20004,47685,54048,15273,-999999999,-999999999,-999999999,4057,5460,77486,9534,23632,13053,41197,21249,19948,21226,5987,5762,6899,2578,7994,13232,6560,-999999999,-999999999,-999999999,1645,2308,11501,3497,4514,774,4093,838,3255,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,01,055
0500000US01069,"Houston County, Alabama",107310,24430,22064,40839,19977,51708,55602,29499,-999999999,-999999999,-999999999,5466,5162,67602,9318,24189,17052,49412,24710,24702,17877,6152,3938,5356,2431,7310,10567,9309,-999999999,-999999999,-999999999,1600,1856,5856,3285,3486,788,3378,1037,2341,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,01,069
0500000US01073,"Jefferson County, Alabama",644623,147717,144388,242037,110481,305655,338968,275335,-999999999,12389,-999999999,33228,36083,301991,36155,108172,164485,308867,153728,155139,102710,32646,22896,32304,14864,42437,60273,65772,-999999999,938,-999999999,4902,9728,24149,13663,20102,7121,19721,7318,12403,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,01,073
0500000US01077,"Lauderdale County, Alabama",93009,18186,20717,34343,19763,44177,48832,5157,-999999999,-999999999,-999999999,5814,-999999999,77422,6319,20453,20713,43224,21620,21604,10913,1759,3706,3556,1892,4771,6142,685,-999999999,-999999999,-999999999,1042,-999999999,8901,1571,2557,945,3091,1442,1649,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,01,077
0500000US01081,"Lee County, Alabama",176073,38051,49816,63438,24768,86156,89917,38651,-999999999,7663,-999999999,7167,-999999999,116498,8488,25074,47197,83640,44918,38722,33748,5198,19316,7031,2203,14516,19232,10552,-999999999,902,-999999999,1252,-999999999,19163,2108,3339,3281,9939,4100,5839,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,01,081
0500000US01083,"Limestone County, Alabama",111349,25571,23445,44656,17677,54904,56445,13183,-999999999,-999999999,-999999999,-999999999,-999999999,81579,6576,17482,26716,52861,29647,23214,8076,2271,2581,2392,832,3128,4948,897,-999999999,-999999999,-999999999,-999999999,-999999999,5500,1350,1289,398,1406,679,727,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,01,083
0500000US01089,"Madison County, Alabama",400744,87942,90612,157471,64719,197409,203335,95693,-999999999,11613,-999999999,28070,27756,247407,17363,54469,135312,210412,115952,94460,42059,12184,14497,10235,5143,17655,24404,19584,-999999999,333,-999999999,2825,4514,15928,3971,7807,5177,12424,5335,7089,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,01,089
0500000US01095,"Marshall County, Alabama",99435,25507,20759,35977,17192,49597,49838,-999999999,-999999999,-999999999,-999999999,7323,17570,75365,10233,21619,14577,44322,23905,20417,17280,5800,2496,6772,2212,7389,9891,-999999999,-999999999,-999999999,-999999999,1367,6249,9670,4516,3172,579,3507,1239,2268,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,01,095
0500000US01097,"Mobile County, Alabama",403454,94833,86221,150665,71735,193166,210288,143245,-999999999,8919,-999999999,20505,14360,219826,27503,93022,75970,184449,88909,95540,63657,22992,13487,17841,9337,27524,36133,36959,-999999999,948,-999999999,1963,1358,22721,7444,12987,3946,11666,3073,8593,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,01,097
0500000US01101,"Montgomery County, Alabama",213394,50943,46793,79914,35744,101263,112131,126728,-999999999,-999999999,-999999999,13012,10986,62726,13678,39166,50880,97340,47853,49487,38237,13572,9261,11859,3545,15918,22319,30855,-999999999,-999999999,-999999999,1517,1754,4468,4233,6306,3590,7033,2811,4222,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,01,101
0500000US01103,"Morgan County, Alabama",121963,27814,24431,47800,21918,59178,62785,14470,-999999999,-999999999,-999999999,-999999999,-999999999,89033,10670,25786,21455,59415,31470,27945,12485,3437,2165,4186,2697,3482,9003,4241,-999999999,-999999999,-999999999,-999999999,-999999999,7116,1607,3013,719,2978,887,2091,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,01,103
0500000US01115,"St. Clair County, Alabama",93288,20962,18019,37535,16772,45409,47879,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,77745,6321,22591,15889,45100,23927,21173,8282,2139,1629,2672,1842,4283,3999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,6987,1681,2676,245,1037,713,324,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,01,115
0500000US01117,"Shelby County, Alabama",229095,52217,44827,92081,39970,111212,117883,30973,-999999999,-999999999,-999999999,14088,17539,166877,7359,36061,69466,118749,64130,54619,20656,5268,5232,6331,3825,9394,11262,2241,-999999999,-999999999,-999999999,2915,3543,14308,1022,6153,1883,5494,2975,2519,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,01,117
0500000US01121,"Talladega County, Alabama",77518,15959,15111,30803,15645,36582,40936,22374,-999999999,-999999999,-999999999,-999999999,-999999999,48260,6908,21657,10350,35120,17872,17248,12530,3040,3603,4069,1818,6303,6227,5435,-999999999,-999999999,-999999999,-999999999,-999999999,5613,1983,3497,366,2623,1054,1569,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,01,121
0500000US01125,"Tuscaloosa County, Alabama",221752,47895,62434,78168,33255,106915,114837,67798,-999999999,-999999999,-999999999,10478,12651,129212,12382,39840,46691,108660,54610,54050,43234,13211,20636,6650,2737,19371,23863,14868,-999999999,-999999999,-999999999,2407,5058,20355,3291,4103,2760,10625,2965,7660,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,01,125
0500000US02020,"Anchorage Municipality, Alaska",280462,66149,68987,108202,37124,142880,137582,13877,21037,26143,-999999999,41158,26505,152456,11527,44475,76792,142998,75636,67362,23433,6425,6833,7467,2708,11134,12299,3721,2553,4300,-999999999,3627,3038,7262,2189,7287,1573,6423,3260,3163,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,02,020
0500000US02090,"Fairbanks North Star Borough, Alaska",91709,22666,24953,32425,11665,49514,42195,-999999999,6963,-999999999,-999999999,14688,-999999999,61176,3646,15554,19394,40970,20114,20856,6129,776,2432,2636,285,3494,2635,-999999999,815,-999999999,-999999999,552,-999999999,4179,731,1162,1024,1884,820,1064,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,02,090
0500000US02170,"Matanuska-Susitna Borough, Alaska",112346,28439,24469,43546,15892,58350,53996,-999999999,6044,-999999999,-999999999,15340,6321,84733,4878,25671,20288,52226,29001,23225,11305,3764,2907,3456,1178,5906,5399,-999999999,1002,-999999999,-999999999,1335,1077,8154,1093,3077,903,2704,1933,771,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,02,170
0500000US04001,"Apache County, Arizona",63847,16417,13024,22551,11855,30998,32849,-999999999,45688,-999999999,-999999999,-999999999,4175,12283,6810,13739,7115,19181,8006,11175,19034,5874,4483,6623,2054,9563,9471,-999999999,16607,-999999999,-999999999,-999999999,1693,209,3380,4415,779,1818,763,1055,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,04,001
0500000US04003,"Cochise County, Arizona",119481,24652,21709,41418,31702,59087,60394,-999999999,-999999999,-999999999,-999999999,32760,41299,65162,8784,20390,22874,41496,21769,19727,18963,3618,3838,6459,5048,8776,10187,-999999999,-999999999,-999999999,-999999999,5782,9348,8087,2818,4258,1005,4129,2524,1605,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,04,003
0500000US04005,"Coconino County, Arizona",132481,26734,37633,46046,22068,66986,65495,-999999999,35270,-999999999,-999999999,15810,20513,68530,6259,19398,34919,67626,35347,32279,24668,6103,8289,6586,3690,12581,12087,-999999999,9594,-999999999,-999999999,3324,5441,9076,2704,3586,1325,6954,3280,3674,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,04,005
0500000US04013,"Maricopa County, Arizona",4516213,998459,1070171,1697023,750560,2244616,2271597,262287,96646,213391,10101,872048,1421666,2359254,310069,682609,1158602,2309259,1243850,1065409,490641,135118,128046,152172,75305,221319,269322,46727,13942,17449,436,120230,217363,188419,69727,82687,54221,116509,56996,59513,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,04,013
0500000US04015,"Mohave County, Arizona",219208,35434,33922,76476,73376,109258,109950,-999999999,-999999999,-999999999,-999999999,24676,37952,163387,20453,60514,26996,76835,40401,36434,37177,7300,6097,13459,10321,18360,18817,-999999999,-999999999,-999999999,-999999999,5439,7365,24984,4718,11923,2868,6579,3685,2894,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,04,015
0500000US04017,"Navajo County, Arizona",106987,26368,20881,36827,22911,53077,53910,-999999999,44993,-999999999,-999999999,7888,11505,45617,10027,24473,12428,35797,18387,17410,27350,7530,6210,8894,4716,12451,14899,-999999999,20930,-999999999,-999999999,1525,1662,3848,5510,6995,467,4507,1824,2683,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,04,017
0500000US04019,"Pima County, Arizona",1032664,200165,247161,354746,230592,506157,526507,38793,25370,29437,-999999999,242463,381057,517951,68486,152479,269446,488977,254265,234712,141769,34940,39789,41558,25482,65530,76239,7732,5529,4726,-999999999,41839,65078,53741,17675,24559,13962,37319,17799,19520,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,04,019
0500000US04021,"Pinal County, Arizona",468696,101500,98365,165940,102891,234273,234423,27476,17652,-999999999,-999999999,87106,141096,257254,34218,95421,75816,201936,111360,90576,54088,11100,11070,17693,14225,25669,28419,3256,3884,-999999999,-999999999,12975,18098,26007,6663,12953,2355,10796,5096,5700,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,04,021
0500000US04025,"Yavapai County, Arizona",245716,37039,37186,85695,85796,119519,126197,-999999999,-999999999,-999999999,-999999999,31991,38530,188011,15585,41300,62233,98932,51090,47842,31862,6192,6580,9269,9821,15811,16051,-999999999,-999999999,-999999999,-999999999,3972,6170,22043,2688,6224,4677,6275,2720,3555,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,04,025
0500000US04027,"Yuma County, Arizona",204631,51003,46694,61841,45093,102433,102198,-999999999,-999999999,-999999999,-999999999,92599,135230,57062,30123,38671,24164,74795,42590,32205,30614,11526,5840,7813,5435,12786,17828,-999999999,-999999999,-999999999,-999999999,13465,22308,6150,6371,5286,857,5558,2333,3225,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,04,027
0500000US05007,"Benton County, Arkansas",307778,77260,70501,117944,42073,152571,155207,-999999999,-999999999,-999999999,-999999999,96541,57571,174002,17665,54310,77525,157589,86455,71134,22828,6739,4899,7699,3491,9088,13740,-999999999,-999999999,-999999999,-999999999,8426,4160,10918,2505,4981,2102,4793,2024,2769,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,05,007
0500000US05031,"Craighead County, Arkansas",110311,28134,26273,40238,15666,53869,56442,16536,-999999999,-999999999,-999999999,10627,7170,77400,7380,21161,20533,52397,27635,24762,19200,8335,5842,3629,1394,7812,11388,5649,-999999999,-999999999,-999999999,2383,2101,9331,1708,2350,1035,4880,2117,2763,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,05,031
0500000US05045,"Faulkner County, Arkansas",124442,28765,32690,45365,17622,61000,63442,14429,-999999999,-999999999,-999999999,6269,-999999999,96327,4396,23259,29446,63328,33383,29945,17357,5741,6953,3335,1328,7357,10000,3563,-999999999,-999999999,-999999999,1630,-999999999,10410,1640,3045,1449,5009,2279,2730,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,05,045
0500000US05051,"Garland County, Arkansas",98601,19343,17807,36121,25330,47094,51507,6786,-999999999,-999999999,-999999999,6307,7565,78471,5660,23409,22001,41864,22001,19863,20095,6975,2829,7007,3284,9013,11082,1979,-999999999,-999999999,-999999999,3566,3415,12250,2225,6133,1631,3808,1836,1972,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,05,051
0500000US05069,"Jefferson County, Arkansas",58128,13253,11539,21721,11615,27351,30777,34030,-999999999,-999999999,-999999999,-999999999,-999999999,21170,4172,15929,9384,24563,11429,13134,13686,4743,2257,4815,1871,7531,6155,9957,-999999999,-999999999,-999999999,-999999999,-999999999,2799,1145,3949,739,2826,1318,1508,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,05,069
0500000US05085,"Lonoke County, Arkansas",75223,18271,15528,30275,11149,36327,38896,4448,-999999999,-999999999,-999999999,-999999999,-999999999,62389,4964,18729,11799,34245,17819,16426,6321,1536,1051,2469,1265,3198,3123,568,-999999999,-999999999,-999999999,-999999999,-999999999,5506,929,1623,330,748,418,330,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,05,085
0500000US05119,"Pulaski County, Arkansas",391281,91917,88681,145221,65462,185852,205429,146217,-999999999,-999999999,-999999999,33524,32831,187624,24768,64207,98062,183386,92589,90797,60615,23964,14047,15307,7297,25989,34626,36895,-999999999,-999999999,-999999999,3713,4929,16725,5442,11140,4439,10969,3164,7805,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,05,119
0500000US05125,"Saline County, Arkansas",127914,29409,24509,50276,23720,62944,64970,-999999999,-999999999,-999999999,-999999999,-999999999,9573,99884,4357,31012,26768,63064,32063,31001,13330,4605,3020,4525,1180,5814,7516,-999999999,-999999999,-999999999,-999999999,-999999999,1521,8660,896,3741,323,2625,888,1737,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,05,125
0500000US05131,"Sebastian County, Arkansas",127507,30192,28422,46421,22472,62691,64816,7511,-999999999,-999999999,-999999999,12473,21005,83412,12040,24480,20946,60293,31665,28628,14027,4269,3267,3924,2567,6486,7541,1363,-999999999,-999999999,-999999999,2333,2421,7566,2126,3407,619,4000,2145,1855,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,05,131
0500000US05143,"Washington County, Arkansas",250722,59094,69674,90716,31238,127105,123617,-999999999,-999999999,-999999999,-999999999,61934,48292,150027,19812,44177,58115,132513,70365,62148,35547,7875,16271,7586,3815,16788,18759,-999999999,-999999999,-999999999,-999999999,9477,5599,19019,3127,5222,3578,10667,4860,5807,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,05,143
0500000US05145,"White County, Arkansas",75685,18075,15293,29222,13095,37143,38542,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,64941,6158,18893,11714,32588,17874,14714,12861,3916,2855,4989,1101,5005,7856,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,9562,1532,3418,324,2553,1271,1282,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,05,145
0500000US06001,"Alameda County, California",1591496,311903,354333,669558,255702,791194,800302,149189,16207,536996,-999999999,197918,370517,430041,131058,183307,610408,844536,444766,399770,150527,25809,44662,50568,29488,69460,81067,28833,1051,42076,-999999999,17581,39132,30910,25092,23646,28594,34909,16161,18748,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,06,001
0500000US06007,"Butte County, California",201961,41404,55308,67646,37603,100402,101559,-999999999,-999999999,11310,-999999999,29948,40837,130753,12663,29522,39783,93343,46455,46888,42560,9318,18224,10809,4209,20581,21979,-999999999,-999999999,1913,-999999999,7294,13337,23292,3876,6444,2210,12974,5134,7840,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,06,007
0500000US06013,"Contra Costa County, California",1145840,247579,228206,467494,202561,562434,583406,91375,-999999999,226968,-999999999,189018,318510,430053,80612,139210,375181,577855,305477,272378,94669,25955,20553,33459,14702,42681,51988,16029,-999999999,13408,-999999999,14326,34323,22044,13476,14951,15040,23098,11818,11280,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,06,013
0500000US06017,"El Dorado County, California",190139,36111,30570,77318,46140,94645,95494,-999999999,-999999999,9981,-999999999,25258,28032,137047,6472,26462,57720,89834,45676,44158,12028,1643,2395,4739,3251,5649,6379,-999999999,-999999999,728,-999999999,1123,2277,8018,795,2976,2183,1832,697,1135,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,06,017
0500000US06019,"Fresno County, California",996401,273170,242976,348192,132063,495577,500824,38457,16316,115898,-999999999,237109,548496,255742,129882,147657,157305,437663,233240,204423,177488,65258,42986,51981,17263,83054,94434,8152,3461,18789,-999999999,42520,116625,23995,35500,23195,10258,34072,15298,18774,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,06,019
0500000US06023,"Humboldt County, California",131319,24583,32002,47348,27386,65391,65928,-999999999,5560,4916,-999999999,16679,18659,92329,7191,18256,33860,59325,32661,26664,21283,3492,5867,8542,3382,9744,11539,-999999999,1417,716,-999999999,3019,3380,13703,2961,3262,2735,4760,2769,1991,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,06,023
0500000US06025,"Imperial County, California",172658,49652,41251,57200,24555,84894,87764,-999999999,4142,-999999999,-999999999,60459,148846,15445,28482,27541,18228,64859,34735,30124,29249,10089,7239,6867,5054,13821,15428,-999999999,1144,-999999999,-999999999,8003,24896,1982,6730,4249,955,4078,2533,1545,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,06,025
0500000US06029,"Kern County, California",895923,255433,220168,310023,110299,449553,446370,43785,15592,46398,-999999999,229570,513337,255293,126836,148889,101488,379657,210226,169431,172010,65338,39735,50377,16560,80392,91618,13141,2586,3943,-999999999,46718,108188,38486,32329,27082,7416,33325,17142,16183,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,06,029
0500000US06031,"Kings County, California",138900,40551,36381,45462,16506,70573,68327,7914,-999999999,-999999999,-999999999,31459,82065,38659,19739,22521,9999,53631,30443,23188,23736,8554,5255,8071,1856,10392,13344,4141,-999999999,-999999999,-999999999,8379,15788,2871,4489,4226,757,5011,2517,2494,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,06,031
0500000US06033,"Lake County, California",66736,14082,11627,23529,17498,33009,33727,-999999999,-999999999,-999999999,-999999999,7661,16958,41836,5975,14608,8148,26498,12161,14337,11365,2404,2191,4242,2528,4736,6629,-999999999,-999999999,-999999999,-999999999,1698,2911,7072,1699,2622,357,1511,275,1236,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,06,033
0500000US06037,"Los Angeles County, California",9509788,1925519,2279129,3816074,1489066,4703012,4806776,712262,148526,1451104,21609,1886556,4644580,2325205,1266602,1358486,2494040,4854647,2593602,2261045,1304964,340285,303027,442105,219547,587309,717655,149166,20972,169495,2929,249222,695386,250380,252942,210266,158094,287965,136269,151696,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,06,037
0500000US06039,"Madera County, California",155924,42738,36048,54307,22831,77938,77986,-999999999,-999999999,3220,-999999999,33617,96746,45428,26374,26442,15915,63418,36078,27340,28396,10888,6199,8498,2811,12738,15658,-999999999,-999999999,489,-999999999,7922,21856,3766,6379,2994,1585,5589,2475,3114,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,06,039
0500000US06041,"Marin County, California",249852,48066,37873,102339,61574,121812,128040,-999999999,-999999999,15330,-999999999,32887,48527,162700,12800,20894,111843,122674,62568,60106,22607,4793,3479,9198,5137,11232,11375,-999999999,-999999999,1185,-999999999,1802,7536,9710,2970,3440,5133,5332,2376,2956,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,06,041
0500000US06045,"Mendocino County, California",86969,16655,14921,32953,22440,43955,43014,-999999999,-999999999,-999999999,-999999999,20709,23702,52913,7057,16581,18245,37971,19445,18526,10673,2213,1909,5303,1248,4667,6006,-999999999,-999999999,-999999999,-999999999,1052,1594,7971,1310,1790,1304,2067,1008,1059,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,06,045
0500000US06047,"Merced County, California",288794,82518,73620,97745,34911,144372,144422,8445,-999999999,19713,-999999999,43660,185207,64738,48459,54796,25456,120584,67903,52681,55144,19841,12031,16910,6362,23843,31301,2294,-999999999,4812,-999999999,6352,35906,8752,11357,8983,1712,10593,4384,6209,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,06,047
0500000US06053,"Monterey County, California",412960,108454,90944,148178,65384,204699,208261,7671,-999999999,23485,-999999999,63904,260834,106868,71612,58783,79100,184523,99218,85305,59055,24162,10930,15780,8183,25978,33077,1102,-999999999,3061,-999999999,8648,44879,8673,12350,7735,5455,11166,4572,6594,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,06,053
0500000US06055,"Napa County, California",130464,24757,25859,51238,28610,65171,65293,-999999999,-999999999,11665,-999999999,23823,48139,62961,11867,16393,38042,69452,35118,34334,11769,2177,3668,2934,2990,5803,5966,-999999999,-999999999,1331,-999999999,1935,5099,4488,1649,1476,1168,2720,1497,1223,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,06,055
0500000US06057,"Nevada County, California",101200,17092,15439,38346,30323,48754,52446,-999999999,-999999999,-999999999,-999999999,11159,-999999999,79751,3347,15265,32058,42083,21079,21004,11292,1819,2079,4345,3049,6004,5288,-999999999,-999999999,-999999999,-999999999,701,-999999999,9619,899,2509,2007,1656,711,945,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,06,057
0500000US06059,"Orange County, California",3095586,636544,696815,1237851,524376,1534291,1561295,51219,28709,707955,9396,562975,1058062,1131519,283204,376174,980322,1610945,866882,744063,280834,68765,69834,90837,51398,124959,155875,5613,1988,65448,1016,62267,118908,79564,42432,41351,45517,65453,31137,34316,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,06,059
0500000US06061,"Placer County, California",419708,89716,75169,166903,87920,206408,213300,8554,-999999999,41349,-999999999,62855,66291,271192,12578,50421,133027,198656,103000,95656,26927,4729,5485,10685,6028,11465,15462,1155,-999999999,2197,-999999999,5136,4885,15448,2042,5535,4126,5654,2456,3198,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,06,061
0500000US06065,"Riverside County, California",2459390,585901,561447,925312,386730,1229011,1230379,152230,41696,174344,-999999999,575486,1277784,743644,270057,444758,440051,1150742,629122,521620,277276,82534,60110,86276,48356,122416,154860,23994,4803,16236,-999999999,59072,151453,75667,42646,56829,23643,55929,26750,29179,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,06,065
0500000US06067,"Sacramento County, California",1568559,355336,362292,604354,246577,769947,798612,143004,18065,284338,19691,234518,384042,623594,127873,236372,383579,760530,388620,371910,184772,47217,45467,63052,29036,87158,97614,23882,1206,39928,2162,28783,48104,56955,28661,33177,22456,40692,19207,21485,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,06,067
0500000US06069,"San Benito County, California",68063,16227,16251,26193,9392,34171,33892,-999999999,-999999999,-999999999,-999999999,28190,42581,19522,7400,12178,10416,34939,19825,15114,5935,1818,1234,1763,1120,2370,3565,-999999999,-999999999,-999999999,-999999999,3278,4610,1234,942,980,292,1414,1018,396,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,06,069
0500000US06071,"San Bernardino County, California",2157903,545306,533296,801273,278028,1073061,1084842,166939,31681,188375,-999999999,437254,1209909,514880,233091,406801,334894,1004781,547091,457690,283551,95383,62701,92327,33140,128399,155152,38222,4431,18173,-999999999,56386,168722,53039,42933,60173,19462,57874,27909,29965,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,06,071
0500000US06073,"San Diego County, California",3169132,667333,758837,1231987,510975,1587699,1581433,142814,37094,402227,12462,687157,1107490,1326539,247560,386419,983679,1604839,854184,750655,318653,76206,85255,108003,49189,149494,169159,26128,4993,36982,673,73325,124354,111171,42697,53760,41411,73134,34179,38955,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,06,073
